JD V-C s1 V-K1 s2 V-K2 s3 V-K3 s4 C1-K1 s5 C1-K2 s6 C1-K3 s7 C2-K1 s8 C2-K2 s9 C2-K3 s10 C3-K1 s11 C3-K2 s12 C3-K3 s13 K1-K2 s14 K1-K3 s15 K2-K3 s16
Aperture: 6, Filter: L, JD: geocentric
2459543.3560764 0.61197 0.00945 1.21772 0.00976 0.75542 0.01037 0.15583 0.01164 1.25299 0.00993 0.79069 0.01054 0.19110 0.01178 0.95402 0.00886 0.49172 0.00953 -0.10787 0.01089 0.01474 0.00671 -0.44756 0.00758 -1.04715 0.00923 -0.46229 0.00755 -1.06189 0.00921 -0.59959 0.00986
2459543.3568519 0.59697 0.00943 1.20372 0.00974 0.75142 0.01034 0.13967 0.01164 1.25906 0.00996 0.80676 0.01056 0.19501 0.01183 0.96587 0.00893 0.51357 0.00959 -0.09819 0.01097 0.00959 0.00673 -0.44271 0.00758 -1.05446 0.00927 -0.45230 0.00755 -1.06405 0.00925 -0.61175 0.00989
2459543.3576042 0.60614 0.00947 1.21502 0.00978 0.75332 0.01040 0.15089 0.01169 1.24980 0.00993 0.78810 0.01054 0.18567 0.01182 0.96264 0.00889 0.50093 0.00957 -0.10149 0.01096 0.01760 0.00672 -0.44411 0.00759 -1.04654 0.00929 -0.46171 0.00756 -1.06413 0.00926 -0.60243 0.00991
2459543.3583681 0.59316 0.00937 1.20700 0.00967 0.75022 0.01028 0.14613 0.01157 1.26687 0.00990 0.81009 0.01049 0.20600 0.01176 0.97718 0.00890 0.52040 0.00955 -0.08369 0.01093 0.01471 0.00668 -0.44207 0.00753 -1.04616 0.00921 -0.45678 0.00750 -1.06087 0.00920 -0.60409 0.00983
2459543.3591319 0.60430 0.00947 1.21529 0.00977 0.76008 0.01038 0.14422 0.01170 1.25776 0.00993 0.80255 0.01053 0.18669 0.01184 0.97057 0.00892 0.51536 0.00958 -0.10050 0.01100 0.01540 0.00671 -0.43981 0.00757 -1.05566 0.00930 -0.45521 0.00754 -1.07107 0.00928 -0.61586 0.00991
2459543.3598958 0.59831 0.00943 1.20350 0.00975 0.75251 0.01035 0.13625 0.01169 1.25508 0.00995 0.80409 0.01054 0.18783 0.01186 0.96075 0.00890 0.50976 0.00956 -0.10650 0.01099 0.01028 0.00672 -0.44071 0.00757 -1.05696 0.00932 -0.45099 0.00755 -1.06725 0.00930 -0.61626 0.00993
2459543.3606597 0.61322 0.00945 1.21033 0.00976 0.76601 0.01036 0.15351 0.01165 1.25043 0.00990 0.80612 0.01048 0.19362 0.01176 0.95469 0.00887 0.51037 0.00952 -0.10213 0.01091 0.00028 0.00668 -0.44403 0.00752 -1.05654 0.00922 -0.44432 0.00752 -1.05682 0.00922 -0.61250 0.00984
2459543.3614236 0.59257 0.00936 1.19412 0.00968 0.74488 0.01028 0.13195 0.01159 1.24242 0.00987 0.79319 0.01046 0.18025 0.01176 0.95703 0.00889 0.50779 0.00954 -0.10514 0.01094 0.00955 0.00670 -0.43969 0.00754 -1.05262 0.00925 -0.44923 0.00752 -1.06217 0.00924 -0.61294 0.00987
2459543.3621759 0.60010 0.00944 1.20298 0.00975 0.74386 0.01037 0.15302 0.01164 1.24565 0.00993 0.78652 0.01054 0.19569 0.01178 0.96672 0.00893 0.50759 0.00960 -0.08324 0.01096 0.00681 0.00672 -0.45231 0.00759 -1.04315 0.00924 -0.45913 0.00757 -1.04996 0.00923 -0.59083 0.00988
2459543.3629398 0.59170 0.00941 1.19852 0.00972 0.73526 0.01035 0.14401 0.01162 1.24615 0.00991 0.78290 0.01052 0.19164 0.01178 0.96427 0.00891 0.50102 0.00960 -0.09023 0.01096 0.01450 0.00672 -0.44876 0.00760 -1.04001 0.00926 -0.46325 0.00758 -1.05451 0.00924 -0.59125 0.00990
2459543.3637153 0.60117 0.00945 1.21412 0.00976 0.75864 0.01037 0.14610 0.01170 1.25746 0.00993 0.80198 0.01053 0.18943 0.01184 0.97022 0.00892 0.51474 0.00958 -0.09781 0.01101 0.01904 0.00673 -0.43643 0.00758 -1.04898 0.00932 -0.45548 0.00755 -1.06802 0.00930 -0.61255 0.00993
2459543.3644907 0.61118 0.00956 1.21193 0.00988 0.75899 0.01050 0.15688 0.01180 1.24579 0.01001 0.79285 0.01062 0.19074 0.01191 0.95338 0.00896 0.50044 0.00963 -0.10167 0.01103 0.00862 0.00678 -0.44432 0.00765 -1.04643 0.00936 -0.45294 0.00763 -1.05505 0.00934 -0.60211 0.00999
2459543.3652546 0.59986 0.00953 1.20753 0.00984 0.74953 0.01046 0.14220 0.01179 1.24477 0.01003 0.78677 0.01064 0.17944 0.01195 0.96468 0.00900 0.50668 0.00968 -0.10065 0.01110 0.01626 0.00678 -0.44174 0.00765 -1.04907 0.00939 -0.45800 0.00762 -1.06533 0.00936 -0.60733 0.01001
2459543.3660185 0.58523 0.00940 1.18779 0.00972 0.73878 0.01032 0.13000 0.01163 1.25326 0.00997 0.80426 0.01055 0.19548 0.01184 0.95742 0.00893 0.50842 0.00958 -0.10037 0.01098 0.00769 0.00674 -0.44131 0.00758 -1.05010 0.00929 -0.44900 0.00756 -1.05779 0.00927 -0.60878 0.00990
